height,sex_no,shoe_size,date_time
127,1,33,2020-05-25 08:28:46
175,1,44,2020-05-07 22:33:13
182,1,42,2020-05-04 09:29:52
165,2,41,2020-04-29 22:26:47
173,2,41,2020-04-27 22:31:50
11,1,11,2020-04-27 09:22:07
168,1,42,2020-04-26 21:14:52
183,1,43,2020-04-26 07:43:20
170,2,0,2020-04-24 09:29:27
170,2,0,2020-04-24 09:29:12
170,2,0,2020-04-24 09:29:09
170,2,0,2020-04-24 09:29:07
170,2,0,2020-04-24 09:29:04
170,2,0,2020-04-24 09:29:01
170,2,0,2020-04-24 09:28:58
170,2,0,2020-04-24 09:28:55
170,2,0,2020-04-24 09:28:52
170,2,0,2020-04-24 09:28:49
170,2,0,2020-04-24 09:28:46
170,2,0,2020-04-24 09:28:43
170,2,0,2020-04-24 09:28:40
170,2,0,2020-04-24 09:28:38
170,2,0,2020-04-24 09:28:35
170,2,0,2020-04-24 09:28:32
170,2,0,2020-04-24 09:28:29
170,2,0,2020-04-24 09:28:26
170,2,0,2020-04-24 09:28:23
170,2,0,2020-04-24 09:28:20
170,2,0,2020-04-24 09:28:18
170,2,0,2020-04-24 09:28:15
170,2,0,2020-04-24 09:28:12
170,2,0,2020-04-24 09:28:09
170,2,0,2020-04-24 09:28:06
170,2,0,2020-04-24 09:28:03
170,2,0,2020-04-24 09:28:00
170,2,0,2020-04-24 09:27:57
170,2,0,2020-04-24 09:27:50
160,1,1,2020-04-24 09:27:20
160,1,-1,2020-04-24 09:26:58
165,1,42,2020-04-19 18:19:20
170,2,41,2020-04-19 10:52:39
181,1,42,2020-03-30 14:53:15
156,2,38,2020-01-28 15:23:54
162,2,36,2020-01-28 08:52:51
167,2,35,2019-12-29 09:24:51
172,2,42,2019-12-23 16:36:00
189,1,47,2019-12-19 12:56:16
160,1,43,2019-12-12 22:39:45
165,2,40,2019-12-01 23:24:38
186,1,43,2019-12-01 10:43:17
176,1,42,2019-11-30 16:37:54
156,2,38,2019-11-29 21:41:31
169,1,42,2019-11-29 05:22:43
162,2,41,2019-11-28 08:16:37
176,1,45,2019-11-28 06:15:06
179,1,46,2019-11-28 05:44:39
180,1,45,2019-11-27 16:35:38
181,1,44,2019-11-27 16:11:22
165,2,42,2019-11-27 15:28:16
162,1,40,2019-11-27 11:47:51
175,2,39,2019-11-27 11:42:25
162,1,40,2019-11-26 14:10:09
156,2,38,2019-11-25 23:27:04
152,2,39,2019-11-25 23:18:26